studentikoos	studentikoze
doorwrocht	doorwrochte
Brits	Britse
gesteld	gestelde
halfhartig	halfhartige
gelikt	
Benins	Beninse
Salvadoraans	Salvadoraanse
Djiboutiaans	Djiboutiaanse
prullig	prullige
Eritrees	Eritrese
Rotterdams	Rotterdamse
geblokt	geblokte
Antwerps	Antwerpse
draagbaar	
geestelijk	geestelijke
Bruneis	Bruneise
Liechtensteins	Liechtensteinse
Leuvens	Leuvense
innocent	innocente
lichtgevend	lichtgevende
geheimzinnig	geheimzinnige
zuigend	
Iberisch	
Amsterdams	
ladderzat	ladderzatte
hollend	hollende
Alkmaars	Alkmaarse
doorlopend	
verliezend	
ruiten	
gedempt	gedempte
uitvoerend	uitvoerende
amicaal	amicale
eventueel	eventuele
plomp	
brekend	
fantastisch	fantastische
gemeend	
overdreven	overdrevenste
handelend	
verlangend	
verdwijnend	
vechtend	vechtende
opbouwend	
ontsmettend	
onderscheiden	
gekend	
tekenend	
gewild	gewilde
smeuïg	smeuïge
zadelvast	zadelvaste
oppassend	
starend	
meegaand	
rap	rappe
afwachtend	
vorig	vorige
vorig	vorige
zerp	zerpe
Samisch	
Bergens	Bergense
geformuleerd	
fatsoenlijk	fatsoenlijke
tenen	
merkwaardig	merkwaardige
gevuld	
deksels	dekselse
eerder	eerdere
verdeeld	verdeelde
sturend	
granaten	
bevers	
wereldlijk	wereldlijke
ingewikkeld	ingewikkelde
sprakeloos	sprakeloze
menselijk	menselijke
ondoorzichtig	ondoorzichtige
blauwig	blauwige
bedrijvig	bedrijvige
bruinig	bruinige
paarsig	paarsige
katachtig	katachtige
beoogd	
zakelijk	zakelijke
koralen	
hermelijnen	
arren	
pruimen	
biseksueel	biseksuele
aangeduid	
bevelend	
clandestien	clandestiene
onbepaald	onbepaalde
groenig	groenige
doordeweeks	doordeweekse
gelig	gelige
ruimschoots	
wurgend	
schools	schoolse
bezopen	
bewegend	bewegende
briljanten	
beklemd	beklemde
beu	(alleen
gekoesterd	gekoesterde
suave	
blanco	
gelaten	
buitenlands	buitenlandse
berken	
baaien	
stoffen	
ebben	
biezen	
platinablond	platinablonde
juwelen	
gazen	
overspannen	overspannenste
winters	winterse
kristallen	
ontspannen	
geniepig	geniepige
gepeperd	gepeperde
beuken	
kalkstenen	
doornen	
pijnen	
desolaat	desolate
haren	
methodistisch	methodistische
methodisch	methodische
genaamd	genaamde
methodologisch	methodologische
systeemloos	systeemloze
stralend	
touwen	
bedrijfskundig	bedrijfskundige
dennen	
systeemgericht	systeemgerichte
machtig	machtige
metalen	
noten	
vlijmscherp	vlijmscherpe
papieren	
vergeetachtig	vergeetachtige
gemiddeld	gemiddelde
ontcijferbaar	ontcijferbare
onontcijferbaar	onontcijferbare
vlijm	
zesde-eeuws	zesde-eeuwse
geregeld	
membraangebonden	
rieten	
vermist	
toegezegd	
defect	defecte
matten	
steil	steile
gemeenschappelijk	gemeenschappelijke
gedropen	
incasseerbaar	incasseerbare
sedatief	sedatieve
gesmoord	
linden	
Scythische	
planken	
ontluikend	
dienend	
maffe	
dusdanig	dusdanige
metallisch	metallische
onderhoudbaar	onderhoudbare
metalliek	metallieke
vergaan	
maf	maffe
doorschijnend	
stadig	stadige
terra	
sluit	
botmatig	botmatige
Bargoens	
gebaard	
getuigd	
ongewoon	ongewone
gepromoveerd	gepromoveerde
gejaagd	
ontuchtig	ontuchtige
gepresenteerd	
gedurfd	
gebaseerd	
gedrukt	gedrukte
georganiseerd	georganiseerde
gebouwd	
gemeld	
gesneuveld	
gedraaid	gedraaide
geadopteerd	
geproduceerd	
geleend	
onderhevig	onderhevige
verbeten	
gemengd	gemengde
lichamelijk	lichamelijke
gericht	
incoherent	incoherente
lallend	
gezaagd	gezaagde
samenhangend	
hemels	hemelse
gecombineerd	
gekaapt	
schuddend	
ondertuigd	ondertuigde
interscolair	interscolaire
gekamd	
gekamd	
ingevallen	
Keltisch	
schietend	
martelend	
toegestaan	
Tsjadisch	Tsjadische
Malagassisch	Malagassische
voorbarig	voorbarige
onsamenhangend	onsamenhangende
Hondurees	
gekwetst	gekwetste
gevierd	
gehuurd	
buitenredelijk	buitenredelijke
geschilderd	
gewaardeerd	
ongerept	ongerepte
Panamees	
geregistreerd	
onschendbaar	onschendbare
hinkend	
overtuigd	overtuigde
mistroostig	mistroostige
gedrongen	
gebroken	
protestants	protestantse
heiig	heiige
nader	nadere
bedorven	
gehaast	
seculier	seculiere
roerend	
luchtziek	luchtzieke
authentiek	authentieke
triklien	trikliene
romboëdrisch	romboëdrische
rombisch	rombische
kubisch	kubische
ruimtegecentreerd	ruimtegecentreerde
vlakgecentreerd	vlakgecentreerde
hexagonaal	hexagonale
tetragonaal	tetragonale
grondvlakgecentreerd	grondvlakgecentreerde
vlakkengecentreerd	vlakkengecentreerde
trigonaal	trigonale
sleets	sleetse
primitief	primitieve
gecentreerd	gecentreerde
kwestieus	kwestieuze
gevreesd	
begeleid	
botsend	
slopend	slopende
stochastisch	stochastische
routineus	routineuze
Tasmaans	Tasmaanse
hardcore	
duizendste	
gretig	gretige
breekbaar	breekbare
Letlands	Letlandse
Braziliaans	Braziliaanse
geëerd	
zoor	zore
wankelmoedig	wankelmoedige
droefgeestig	droefgeestige
Oostenrijks	Oostenrijkse
jofel	jofele
isopleeth	isoplethe
endotherm	endotherme
laatdunkend	laatdunkende
exotherm	exotherme
zwik	
isochoor	isochore
isobaar	isobare
isotherm	isotherme
antraciet	
gegroeid	
gefinancierd	
diligent	diligente
obsceen	obscene
geslaagd	geslaagde
uniek	unieke
zeventiende	
gesloopt	
Nigeriaans	Nigeriaanse
dizzy	dizzyste
laveloos	laveloze
verveeld	verveelde
verveeld	verveelde
stenen	
beroerd	
koppotig	koppotige
bepalend	bepalende
heuglijk	heuglijke
Jamaicaans	Jamaicaanse
negentiende	
gewend	gewende
dorstig	dorstige
flamboyant	flamboyante
dito	
analyserend	
gammel	gammele
broeds	broedse
ingestort	
broedend	
welvarend	welvarende
bevoorraad	
gestemd	gestemde
glibberig	glibberige
loos	loze
impliciet	impliciete
zandstenen	
tuk	(alleen
digitaal	digitale
wereldwijd	wereldwijde
haastig	haastige
wan	
zeemzoet	zeemzoete
gezegd	gezegde
gegeerd	gegeerde
rare	
inwit	inwitte
houten	
glazig	glazige
katijf	
linker	
expliciet	expliciete
robijnen	
leien	
buigend	
gerust	
Oss	
geitachtig	geitachtige
bovenst	bovenste
weids	weidse
suspect	suspecte
onderst	onderste
schurend	
verstrekkend	
wolkeloos	wolkeloze
herzien	
gepubliceerd	
afgetrapt	
verhoogd	verhoogde
afgeborsteld	
binnenwaarts	binnenwaartse
bovenwaarts	bovenwaartse
afwaarts	afwaartse
inwaarts	inwaartse
rugwaarts	rugwaartse
buitenwaarts	buitenwaartse
krimpend	
opwaarts	opwaartse
zijwaarts	zijwaartse
bergopwaarts	bergopwaartse
groeiend	
afgedankt	
glimmend	glimmende
voorwaarts	voorwaartse
benedenwaarts	benedenwaartse
afgedraaid	afgedraaide
handwarm	handwarme
windwaarts	
poëtisch	poëtische
schrijnend	
tips	tipse
nijdig	nijdige
neerwaarts	neerwaartse
natuurkundig	natuurkundige
noodlottig	noodlottige
greinen	
nauwkeurig	nauwkeurige
ongeoorloofd	ongeoorloofde
houdbaar	houdbare
eiwitrijk	eiwitrijke
blikken	
melodramatisch	melodramatische
jute	
integer	integere
binnenst	binnenste
hinderlijk	hinderlijke
Jiddisj	
geaard	geaarde
iepen	
smalletjes	
eindig	eindige
Qatarees	
dichterlijk	dichterlijke
beëdigd	beëdigde
kanten	
West-Germaans	
bergafwaarts	bergafwaartse
verouderd	verouderde
krimp	
onkreukbaar	onkreukbare
bont	bonte
zuidoostwaarts	zuidoostwaartse
broodnodig	broodnodige
neerslachtig	neerslachtige
zodiakaal	zodiakale
verfoeid	
ohms	ohmse
opponeerbaar	opponeerbare
recommandabel	recommandabele
fractaal	
zalig	zalige
afgebladderd	
spekglad	spekgladde
hachelijk	hachelijke
pages	
mies	miese
fonetisch	fonetische
abonnementsvrij	abonnementsvrije
amoureus	amoureuze
problematiek	
quadrafonisch	quadrafonische
stotig	stotige
stoots	stootse
knuddig	knuddige
gebloemd	gebloemde
verwaten	verwatenste
kneuterig	kneuterige
versteld	verstelde
gelobd	gelobde
horizontaal	horizontale
homofiel	
handtastelijk	handtastelijke
hartverscheurend	hartverscheurende
medium	
synthetisch	synthetische
clitisch	clitische
ragfijn	ragfijne
maanziek	maanzieke
vierkantig	vierkantige
vierkantig	vierkantige
kritiek	
zonovergoten	
Parijs	
krankjorum	krankjorume
carbonzuur	
ijselijk	ijselijke
verschillend	verschillende
rans	ranse
bilabiaal	
perfide	perfidere
buitenechtelijk	buitenechtelijke
grim	
futloos	futloze
ambidexter	
spitsvondig	spitsvondige
wireless	
quadrofonisch	quadrofonische
harteloos	harteloze
hoogmoedig	hoogmoedige
toornig	toornige
hartig	hartige
abyssaal	abyssale
historisch	historische
curieus	curieuze
hardvochtig	hardvochtige
octavo	
harmonieus	harmonieuze
benevolent	benevolente
harig	harige
zeewaterbestendig	zeewaterbestendige
kittelorig	kittelorige
balsturig	balsturige
rank	
waanzinnig	waanzinnige
bloosloos	bloosloze
ongegeneerd	ongegeneerde
onbeschaamd	onbeschaamde
schaamtevol	schaamtevolle
Oudrussisch	
dagdagelijks	dagdagelijkse
gegeneerd	gegeneerde
lijzig	lijzige
louter	loutere
flanellen	
dalend	
locrisch	locrische
eolisch	eolische
frygisch	frygische
lydisch	lydische
mixolydisch	mixolydische
dorisch	dorische
hypermodern	hypermoderne
bibliografisch	bibliografische
exemplarisch	exemplarische
bibliofiel	
ogenblikkelijk	ogenblikkelijke
aftands	aftandse
bicommunautair	bicommunautaire
stupide	stupidere
schattig	schattige
lankmoedig	lankmoedige
fortuinlijk	fortuinlijke
ellenlang	ellenlange
zondig	zondige
stuitend	stuitende
schaamteloos	schaamteloze
vlijtig	vlijtige
wispelturig	wispelturige
rampzalig	rampzalige
communautair	communautaire
verzoenend	verzoenende
Franstalig	Franstalige
balorig	balorige
sterrenkundig	sterrenkundige
gebrekkig	gebrekkige
glossy	
kortzichtig	kortzichtige
leidinggevend	leidinggevende
getypt	
mediocre	
kwijt	(alleen
krampachtig	krampachtige
buitenissig	buitenissige
gotisch	gotische
kansrijk	kansrijke
peperduur	peperdure
Afghaans	Afghaanse
hittebestendig	hittebestendige
mensachtig	mensachtige
oubollig	oubollige
levendig	levendige
stomverbaasd	stomverbaasde
baanloos	baanloze
bigot	bigotte
omkoopbaar	omkoopbare
baarlijk	baarlijke
zeurend	
ronkend	
gemeten	
kiftig	kiftige
ijverzuchtig	ijverzuchtige
wangunstig	wangunstige
gevestigd	gevestigde
gescheurd	
gedreven	
gegrond	
gestrest	
rens	rense
zalmachtig	zalmachtige
gebonden	gebondenste
ondubbelzinnig	ondubbelzinnige
aangegaan	
aangehaald	
aftredend	
afstotend	
keurig	keurige
ergerlijk	ergerlijke
afgewind	(alleen
ijverig	ijverige
bedwelmd	bedwelmde
babbelend	
verticaal	verticale
afgericht	afgerichte
bedienend	
vrijzinnig	vrijzinnige
afgerond	
onhandig	onhandige
bedreigend	
gebaand	
bediend	
bedwelmend	
bedroevend	
beschut	
naarstig	naarstige
bekleed	beklede
bovenaards	bovenaardse
vijandelijk	vijandelijke
gebeeldhouwd	
gruwelijk	gruwelijke
bemind	beminde
beledigend	
bepleit	
pertinent	pertinente
bemiddelend	
melancholiek	melancholieke
beschouwend	
verlaat	
aapachtig	aapachtige
innemend	innemende
exotisch	exotische
krap	krappe
kwaadaardig	kwaadaardige
balmondig	balmondige
aandeelhoudend	aandeelhoudende
bezwijmend	
bevrijd	bevrijde
bezwerend	
bezwarend	
illegaal	
gekruist	
binnenkomend	
bijkomend	
blootvoets	
gebleekt	
haaks	haakse
gebladerd	gebladerde
knalroze	
gehecht	
nauwgezet	nauwgezette
afatisch	afatische
bekocht	bekochte
aangericht	
donderend	donderende
afhangend	
duurzaam	duurzame
bemest	
determinatief	determinatieve
falend	
geforceerd	
functionerend	
fronsend	
ionisch	ionische
gapend	
gekscherend	
heersend	
gelegen	
gewaagd	
goedkeurend	
eisend	
hellend	hellende
entomofaag	
antropofaag	
gezet	gezette
ichtyofaag	
innoverend	innoverende
jankend	
keurend	
ingevoerd	ingevoerde
ingezet	
irriterend	
gekeerd	
geïnfecteerd	
isolerend	
kirrend	
Egyptisch	
verbaasd	verbaasde
kreunend	
beloond	
knagend	
knetterend	
knorrend	
geknield	
knellend	
beperkend	
gekweld	
beduidend	
afrondend	
kwetsend	
gekromd	
kwellend	
onderling	onderlinge
onmiskenbaar	onmiskenbare
komiek	
weerzinwekkend	weerzinwekkende
bevlogen	
bevrijdend	
liefhebbend	
doorgestaan	
zebra-achtig	zebra-achtige
malend	
galmend	
glanzend	
bibberend	
bezocht	
bruisend	
personeel	
gehard	
gemodificeerd	
plechtig	plechtige
besloten	
matigend	
bedreigd	
bezwaard	
minachtend	
gehurkt	
bestraffend	
misnoegd	
misleid	
ontkennend	
misleidend	
mompelend	
inspirerend	
verbluffend	verbluffende
verdacht	verdachte
slepend	slepende
besteed	
leerachtig	leerachtige
geboeid	
verbluft	verblufte
geïsoleerd	
geruststellend	
erkend	
gecontroleerd	
illuster	illustere
omgaand	omgaande
noemend	
weemoedig	weemoedige
ontluisterend	
begeleidend	
ontbindend	ontbindende
onderwijzend	
ondermijnend	
ingericht	
ontstaan	
onderscheidend	
opgebouwd	
opgericht	
omgekeerd	
opvolgend	
opvliegend	
onderdrukkend	
overtreffend	overtreffende
verstandig	verstandige
opwekkend	
goedgekeurd	
rimpelend	
afgestompt	afgestompte
pakkend	pakkende
peinzend	
geperforeerd	
resterend	resterende
geromaniseerd	
overstekend	
riekend	
regerend	regerende
overheersend	
regelend	
geremd	
samengesteld	
remmend	
plagend	
geroosterd	
gerimpeld	gerimpelde
samenstellend	
opgewassen	
gladharig	gladharige
ambachtelijk	ambachtelijke
gemerkt	
onverstaanbaar	onverstaanbare
geïnspireerd	
ommuurd	
vluchtig	vluchtige
geschept	
geschoold	
gespijkerd	
geschift	geschifte
gestoofd	
gestoomd	
getekend	getekende
verdord	verdorde
afwerend	
toepasselijk	toepasselijke
gesponsord	
verdiend	verdiende
verminderd	
vastgesteld	vastgestelde
overwoekerd	
geveinsd	
uitgelaten	
versteend	versteende
gepolijst	
ontzettend	
verwonderd	verwonderde
verminkt	verminkte
gesteriliseerd	
bewonderend	
verrot	
schaterend	
gewijd	gewijde
sissend	sissende
scharnierend	
smeulend	
spiegelend	
gezegend	
spinnend	
schommelend	
stimulerend	
slingerend	
stromend	
strijdend	
smachtend	
stomend	
stilzwijgend	
stotend	
trillend	
strelend	
gerealiseerd	
uitstervend	
uitziend	
uitstaand	
opvallend	opvallende
teleurstellend	teleurstellende
veranderend	veranderende
vergelijkend	vergelijkende
tergend	
oplopend	
uitlopend	
verdovend	verdovende
verbindend	verbindende
uitnodigend	
vergrotend	vergrotende
verdragend	
verend	
verklarend	
verdedigend	
vernieuwend	vernieuwende
verlossend	
verplegend	
verspringend	
verplichtend	
verlammend	verlammende
vervangend	
wuivend	
zalvend	
verlokkend	
versterkend	
wiegend	
verstikkend	
waarnemend	
vloeiend	vloeiende
zegenend	
zoemend	
zegevierend	
weifelend	
gemunt	
bedoeld	
causatief	
gehuld	
wankelbaar	wankelbare
gesplitst	
bedeesd	bedeesde
wankel	wankele
wankelend	
choquerend	
naburig	naburige
kersvers	kersverse
terughoudend	terughoudende
geveerd	geveerde
geplaatst	
leistenen	
groepsgewijs	groepsgewijze
puntsgewijs	puntsgewijze
aarzelend	
gewelfd	
steekproefsgewijs	steekproefsgewijze
bedrijfstakgewijs	bedrijfstakgewijze
broksgewijs	broksgewijze
druppelsgewijs	druppelsgewijze
schoksgewijs	schoksgewijze
ploegsgewijs	ploegsgewijze
ondernemingsgewijs	ondernemingsgewijze
versneld	versnelde
verdoofd	verdoofde
trapsgewijs	trapsgewijze
bebost	
terugkerend	
kringsgewijs	kringsgewijze
verdorven	
smekend	smekende
bloot	blote
toenemend	
kieskeurig	kieskeurige
Ionisch	Ionische
Picardisch	
verwend	verwende
verwacht	
verward	verwarde
ongelijk	
goedaardig	goedaardige
ongepast	ongepaste
wandelend	wandelende
onbeholpen	onbeholpenste
nipt	nipte
voorgesteld	
beeldend	
galliumhoudend	galliumhoudende
uraanhoudend	uraanhoudende
ceriumhoudend	ceriumhoudende
gedetineerd	gedetineerde
tinhoudend	tinhoudende
titaanhoudend	titaanhoudende
loodhoudend	loodhoudende
waarderend	
uitgestorven	
lijgierig	lijgierige
geëigend	geëigende
ongeschonden	ongeschondenste
onroerend	onroerende
loefgierig	loefgierige
ijzerhoudend	ijzerhoudende
brokaten	
bonten	
katoenen	
tinnen	
koperen	
kartonnen	
onwel	onwelle
gelaarsd	gelaarsde
gebrild	gebrilde
gemijterd	gemijterde
geribbeld	geribbelde
gekuifd	gekuifde
ontsteld	
geaderd	geaderde
schubsgewijs	schubsgewijze
gespoord	gespoorde
gemarmerd	gemarmerde
onveilig	onveilige
getand	getande
geblaard	geblaarde
voedzaam	voedzame
gehoornd	gehoornde
generfd	generfde
ongelukkig	ongelukkige
gevleugeld	gevleugelde
verkapt	verkapte
ontiegelijk	ontiegelijke
gemaskerd	gemaskerde
gehelmd	gehelmde
geruit	geruite
onverschillig	onverschillige
volgzaam	volgzame
verrassend	
West-Vlaams	
versleten	
zogeheten	
stalen	
wis	
gevederd	gevederde
bronzen	
zalmroze	
veeg	
werkzaam	werkzame
geknecht	geknechte
voorbereid	voorbereide
aardewerken	
onmenselijk	onmenselijke
blaf	
Bijbels	Bijbelse
ledig	ledige
reinig	reinige
tob	
knetter	(alleen
betonnen	
kroes	
schel	
vergiftig	vergiftige
vijs	
rijf	
deugdzaam	deugdzame
onderdrukt	
onvermijdelijk	onvermijdelijke
vriesdroog	
gefrituurd	
gebakken	
gecastreerd	
geverfd	
herhaald	herhaalde
gewraakt	gewraakte
getatoeëerd	
onderworpen	onderworpenste
geaccepteerd	
bezield	
gesnoeid	
geamputeerd	
begrensd	begrensde
geadverteerd	
tactiel	tactiele
gegolfd	
onbekend	onbekende
geland	
albasten	
geschetst	
onverstoorbaar	onverstoorbare
geleid	
vereist	
gearriveerd	
geconstateerd	
begroeid	begroeide
gebracht	
gevoerd	
gepensioneerd	
bedremmeld	bedremmelde
parabolisch	parabolische
voltooid	
geconcentreerd	
krokant	krokante
cinefiel	
gedekt	
doodleuk	
kernachtig	kernachtige
gedoofd	
flesachtig	flesachtige
gewerveld	gewervelde
strijdbaar	strijdbare
balvaardig	balvaardige
strijdvaardig	strijdvaardige
hovaardig	hovaardige
bereidvaardig	bereidvaardige
orthodox	orthodoxe
onzinnig	onzinnige
gehaat	
ontkleed	
gevat	gevatte
verspreid	verspreide
belast	belaste
veracht	verachte
nanoporeus	nanoporeuze
zoetemelks	zoetemelkse
geharnast	geharnaste
kleurrijk	kleurrijke
zedelijk	zedelijke
gedwee	gedweeë
jaden	
oplosbaar	oplosbare
canoniek	canonieke
Curaçaos	Curaçaose
smalend	
gallisch	gallische
onprettig	onprettige
onplezierig	onplezierige
prettig	prettige
onguur	ongure
plezierig	plezierige
flut	
onverwacht	onverwachte
patserig	patserige
Gallisch	
pietje-preciezerig	pietje-preciezerige
besluitvaardig	besluitvaardige
opgesloten	
vroegeenentwintigste-eeuws	vroegeenentwintigste-eeuwse
calorierijk	calorierijke
pietluttig	pietluttige
manilla	
scanklaar	scanklare
affectief	affectieve
inbegrepen	
culinair	culinaire
felgekleurd	felgekleurde
bontgekleurd	bontgekleurde
gesitueerd	gesitueerde
jade	
verrast	
divers	diverse
gewatteerd	gewatteerde
opmerkzaam	opmerkzame
meegenomen	
zelfzeker	zelfzekere
tactvol	tactvolle
smoorverliefd	smoorverliefde
doodop	(alleen
opzettelijk	opzettelijke
vierwielig	vierwielige
reukloos	reukloze
wenselijk	wenselijke
thermomechanisch	thermomechanische
aangewend	
felsisch	felsische
sneeuwbestendig	sneeuwbestendige
taai	taaie
knal	
effusief	effusieve
zozo	(alleen
bonzend	
viskeus	viskeuze
onaangenaam	onaangename
veelvuldig	veelvuldige
plantenetend	plantenetende
tendentieus	tendentieuze
blo	blodere
elusief	elusieve
laatmiddeleeuws	laatmiddeleeuwse
een of ander	een of andere
argwanend	argwanende
zonecht	zonechte
banaal	banale
luxe	luxere
gehoefd	gehoefde
ordelijk	ordelijke
kraakbenen	
gekield	gekielde
aangetoond	
leergierig	leergierige
suizend	
gekrenkt	gekrenkte
perkamenten	
kurken	
troosteloos	troosteloze
lakens	
ziekelijk	ziekelijke
brandwerend	brandwerende
verbitterd	verbitterde
origineel	
gekruid	
verkrachtbaar	verkrachtbare
verbijsterd	
onuitputtelijk	onuitputtelijke
zelfverzekerd	zelfverzekerde
ingesteld	
ongewijzigd	ongewijzigde
vehement	vehemente
aangekoekt	
jarenlang	jarenlange
aanvaard	
overdadig	overdadige
ahornen	
saffieren	
capricieus	capricieuze
afgestudeerd	
volstrekt	
kalkrijk	kalkrijke
agaten	
bakstenen	
verrukt	verrukte
piepjong	piepjonge
gebald	
onbedijkt	onbedijkte
verhalend	
bedijkt	
begeesterd	begeesterde
doorstraalbaar	doorstraalbare
verloren	
bestudeerd	
versgemalen	
aangestipt	
bliksems	bliksemse
denkbeeldig	denkbeeldige
aangeschaft	
extravagant	extravagante
aangeleerd	
geanimeerd	geanimeerde
onbeduidend	onbeduidende
onbekwaam	onbekwame
gepoft	
akoestisch	akoestische
onderkoeld	
diamanten	
wars	(alleen
beschadigd	beschadigde
gediscrimineerd	
gebronsd	gebronsde
mafisch	mafische
afgemeten	
aaneengesloten	
geborduurd	
reëel	reële
eenparig	eenparige
melancholisch	melancholische
benodigd	
geobserveerd	
gay	
verwoest	
beraden	
maltentig	maltentige
belazerd	
aangezet	
zinvol	zinvolle
overeenkomstig	overeenkomstige
stoer	stoere
strak	strakke
gevangengenomen	
gewaand	gewaande
zaterdags	zaterdagse
liefdeloos	liefdeloze
geolied	
onderbetaald	
vreselijk	vreselijke
onderbelicht	
aangekondigd	
ontaard	ontaarde
opgedaan	
opgelegd	opgelegde
goudkleurig	goudkleurige
buitensporig	buitensporige
gepantserd	gepantserde
gepavoiseerd	
psychosociaal	psychosociale
doordacht	
geplet	
geprivilegieerd	geprivilegieerde
zedeloos	zedeloze
gebekt	gebekte
coaxiaal	coaxiale
aangewakkerd	aangewakkerde
beredeneerd	beredeneerde
aangeharkt	
geautomatiseerd	
opgeschoten	
opgesteld	
verontrust	verontruste
vergeefs	vergeefse
Hongaarstalig	Hongaarstalige
Russischtalig	Russischtalige
Duitstalig	Duitstalige
Nederlandstalig	Nederlandstalige
horig	horige
topazen	
toegekend	
getralied	getraliede
volkomen	volkomenste
uitgebracht	
geveld	
geliefd	geliefde
vermolmd	
versuft	versufte
verzadigd	
dartel	dartele
bolvormig	bolvormige
toegepast	
smaragden	
laatste	
paarlen	
vergeeld	vergeelde
wijlen	
gezind	gezinde
echografisch	echografische
verlicht	verlichte
verblijd	verblijde
pissig	pissige
uitgevoerd	uitgevoerde
welletjes	
polyseem	
verzorgd	verzorgde
kindvriendelijk	kindvriendelijke
vrijblijvend	vrijblijvende
brandvrij	brandvrije
gebruiksvriendelijk	gebruiksvriendelijke
bouwkundig	bouwkundige
brandnieuw	brandnieuwe
gloednieuw	gloednieuwe
brandveilig	brandveilige
brandschoon	brandschone
cellulair	cellulaire
urgent	urgente
arthrokinematisch	arthrokinematische
zedig	zedige
vastgelegd	
gevorderd	
gezwollen	
herfstig	herfstige
verstoken	
dwars	dwarse
dagenlang	dagenlange
gesuggereerd	
diatonisch	diatonische
chromatisch	chromatische
gecodeerd	
zandachtig	zandachtige
glasgeblazen	
zeemleren	
tweewielig	tweewielige
vertrouwelijk	vertrouwelijke
vurig	vurige
zwijnachtig	zwijnachtige
zwijmeldronken	zwijmeldronkenste
stelselmatig	stelselmatige
zeepachtig	zeepachtige
verricht	
rechtmatig	rechtmatige
bemeten	bemetenste
ongeletterd	ongeletterde
uitgebreid	
gestaag	gestage
gedoodverfd	gedoodverfde
zuidelijk	zuidelijke
geblesseerd	
uitgeprocedeerd	uitgeprocedeerde
rabelaisachtig	rabelaisachtige
foeilelijk	foeilelijke
gecondenseerd	
gedoemd	
mediterraan	mediterrane
wilgen	
ervarene	
joelend	
verkwikkend	
moeizaam	moeizame
particulier	particuliere
zirkonen	
gekneusd	gekneusde
bevangen	
ultradevoot	ultradevote
drooggevallen	
vermeld	
verwaterd	verwaterde
verkrampt	verkrampte
zwakalcoholisch	zwakalcoholische
huwbaar	huwbare
onverkort	onverkorte
gekoloniseerd	
Servo-Kroatisch	
zwart-wit	zwart-witte
urenlang	urenlange
slinks	slinkse
priem	
Libisch	Libische
zoetig	zoetige
zwartzijden	
ziekjes	(alleen
garen	
zielsblij	zielsblije
wijdverspreid	wijdverspreide
kut	
infrarood	
zeiknat	zeiknatte
vanzelfsprekend	vanzelfsprekende
overig	overige
talrijk	talrijke
eilandelijk	eilandelijke
Noord-Afrikaans	Noord-Afrikaanse
legitiem	legitieme
vadsig	vadsige
droef	droeve
bloedig	bloedige
grondwetgevend	grondwetgevende
veranderlijk	veranderlijke
zavelachtig	zavelachtige
gedecoreerd	
zuurstofrijk	zuurstofrijke
buigzaam	buigzame
bio	
zeevaardig	zeevaardige
metershoog	metershoge
eeneiig	eeneiige
dwalend	
vertragend	
radioactief	radioactieve
gekoeld	
volgroeid	volgroeide
ontdaan	
ontbloot	
pregnant	pregnante
zevenkoppig	zevenkoppige
magnetisch	magnetische
diamagnetisch	diamagnetische
dodecafonisch	dodecafonische
paramagnetisch	paramagnetische
gewapend	gewapende
verliefd	verliefde
gemelijk	gemelijke
grondig	grondige
ELF	
nucleair	nucleaire
taffen	
steigerend	
betoverd	
verdwaald	verdwaalde
watervrij	watervrije
ongetuigd	ongetuigde
dramatisch	dramatische
storend	
vleesgeworden	
galvanisch	galvanische
veil	
senior	
vergevensgezind	vergevensgezinde
vertraagd	vertraagde
verwilderd	verwilderde
zavelig	zavelige
geëvend	
zuchtig	zuchtige
meesmuilend	
zwartfluwelen	
zaligmakend	zaligmakende
furieus	furieuze
kralen	
geluidsdicht	geluidsdichte
geaccidenteerd	geaccidenteerde
hondsdol	hondsdolle
tweeërlei	(alleen
tragisch	tragische
drieërlei	(alleen
ontregeld	
hemelhoog	hemelhoge
zwemmerig	zwemmerige
zwaarbevochten	
hunkerend	
lederen	
geologisch	geologische
gaga	
fabrieksmatig	fabrieksmatige
verdwaasd	verdwaasde
steilorig	steilorige
indachtig	(alleen
schandelijk	schandelijke
telescopisch	telescopische
inkomend	
zanderig	zanderige
soi-disant	
zijlings	zijlingse
eenlettergrepig	eenlettergrepige
verhard	
uitnemend	uitnemende
stoutmoedig	stoutmoedige
onveranderd	onveranderde
stedelijk	stedelijke
zangerig	zangerige
ferromagnetisch	ferromagnetische
zandig	zandige
zandkleurig	zandkleurige
patriottisch	patriottische
gevormd	
zeereerwaard	zeereerwaarde
fiks	fikse
adviserend	
zelfklevend	zelfklevende
genuanceerd	
foutief	foutieve
minuscuul	minuscule
hypothetisch	hypothetische
onderschikkend	
uitgeblust	
pluchen	
meubilair	
roestvrijstalen	
gepast	
fluvioglaciaal	fluvioglaciale
verfijnd	verfijnde
gemuteerd	
rimpelig	rimpelige
rimpelloos	rimpelloze
ultraviolet	ultraviolette
isopiëstisch	isopiëstische
smartelijk	smartelijke
racemisch	racemische
voorafgaand	
rechthoekig	rechthoekige
kerngezond	kerngezonde
gelood	
gelijnd	
Stockholms	Stockholmse
misvormd	misvormde
hardleers	hardleerse
eindeloos	eindeloze
uitverkoren	
zwaarbeladen	
platzak	(alleen
benig	benige
